交易類型,行政區,交易日期,地址,建物型態,移轉層次,總樓層,房型,總坪數,成交總價(萬),車位總價(萬),每坪單價(萬),含車位,車位類別,成交建案名稱,備註
預售屋,鼓山區,2025-11-13,高雄市鼓山區鼓山一路53巷,住宅大樓(11層含以上有電梯),九層,15,1房2廳2衛,38.19,1500.0,210.0,33.78,是,坡道平面,匯埕,
預售屋,鼓山區,2025-11-29,高雄市鼓山區鼓山一路53巷,住宅大樓(11層含以上有電梯),十二層,15,3房2廳2衛,41.57,1680.0,215.0,35.24,是,坡道平面,匯埕,
預售屋,鼓山區,2026-01-13,高雄市鼓山區鼓山一路53巷,住宅大樓(11層含以上有電梯),十二層,15,1房1廳2衛,34.02,1347.0,200.0,33.72,是,坡道平面,匯埕,
預售屋,鼓山區,2026-01-13,高雄市鼓山區鼓山一路53巷,住宅大樓(11層含以上有電梯),十三層,15,3房2廳2衛,41.57,1680.0,215.0,35.24,是,坡道平面,匯埕,
預售屋,鼓山區,2026-01-09,高雄市鼓山區鼓山一路53巷,住宅大樓(11層含以上有電梯),九層,15,3房2廳2衛,41.57,1630.0,210.0,34.16,是,坡道平面,匯埕,
預售屋,鼓山區,2026-01-24,高雄市鼓山區鼓山一路53巷,住宅大樓(11層含以上有電梯),九層,15,1房1廳2衛,38.91,1510.0,210.0,33.41,是,坡道平面,匯埕,
預售屋,三民區,2026-02-03,高雄市三民區三塊厝段四小段2865地號,住宅大樓(11層含以上有電梯),十層,13,3房2廳2衛,32.84,1653.0,150.0,45.77,是,塔式車位,銳揚悅光河,
預售屋,三民區,2026-01-28,高雄市三民區三塊厝段四小段2865地號,住宅大樓(11層含以上有電梯),十一層,13,3房2廳2衛,43.72,2043.0,150.0,43.3,是,塔式車位,銳揚悅光河,
預售屋,三民區,2025-12-11,高雄市三民區覺民路,住宅大樓(11層含以上有電梯),十三層,15,2房1廳1衛,29.13,750.0,160.0,20.25,是,坡道平面,KS1,總價含地上權標的價款236萬元地上權房屋；
預售屋,三民區,2025-12-19,高雄市三民區覺民路,住宅大樓(11層含以上有電梯),三層,15,3房2廳2衛,43.09,1068.0,160.0,21.07,是,坡道平面,KS1,總價含地上權標的價款363萬元地上權房屋；
預售屋,三民區,2025-12-24,高雄市三民區覺民路,住宅大樓(11層含以上有電梯),八層,15,3房1廳2衛,35.87,918.0,150.0,21.41,是,坡道平面,KS1,總價含地上權標的價款307萬元地上權房屋；
預售屋,鳳山區,2026-02-08,高雄市鳳山區鳳頂段44號,華廈(10層含以下有電梯),四層,5,2房1廳2衛,16.89,616.0,0.0,36.47,否,,一琚雲邸,
預售屋,三民區,2025-11-21,高雄市三民區義民段,華廈(10層含以下有電梯),二層,7,1房1廳1衛,19.8,798.0,0.0,40.3,否,,大昌九禾,
預售屋,三民區,2026-01-29,高雄市三民區義民段,華廈(10層含以下有電梯),五層,7,1房1廳1衛,19.8,808.0,0.0,40.81,否,,大昌九禾,
預售屋,三民區,2026-01-31,高雄市三民區義民段,華廈(10層含以下有電梯),五層,7,1房1廳1衛,22.95,920.0,0.0,40.09,否,,大昌九禾,
預售屋,三民區,2025-11-14,高雄市三民區中都段四小段915地號,住宅大樓(11層含以上有電梯),十層,28,4房2廳2衛,55.57,1965.0,80.0,33.92,是,坡道機械,大景旭,
預售屋,三民區,2025-12-12,高雄市三民區大順二路與建興路,住宅大樓(11層含以上有電梯),二層,15,2房1廳2衛,26.05,1090.0,0.0,41.84,否,,大順棧,
預售屋,新興區,2025-11-11,高雄市新興區中山一路,住宅大樓(11層含以上有電梯),十四層,36,2房1廳1衛,25.47,1330.0,0.0,52.22,否,,中山鉑悅,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；
預售屋,新興區,2025-11-15,高雄市新興區中山一路,住宅大樓(11層含以上有電梯),七層,36,1房1廳1衛,27.12,1438.0,0.0,53.02,否,,中山鉑悅,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；
預售屋,新興區,2025-11-16,高雄市新興區中山一路,住宅大樓(11層含以上有電梯),十一層,36,2房1廳1衛,22.8,1262.0,0.0,55.35,否,,中山鉑悅,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；
預售屋,新興區,2025-11-16,高雄市新興區中山一路,住宅大樓(11層含以上有電梯),三十六層,36,2房1廳1衛,22.66,1310.0,0.0,57.81,否,,中山鉑悅,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；
預售屋,新興區,2025-11-20,高雄市新興區中山一路,住宅大樓(11層含以上有電梯),十九層,36,1房1廳1衛,28.63,1587.0,130.0,50.89,是,坡道機械,中山鉑悅,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；
預售屋,新興區,2025-11-22,高雄市新興區中山一路,住宅大樓(11層含以上有電梯),二十四層,36,3房1廳2衛,46.32,2355.0,220.0,46.09,是,坡道平面,中山鉑悅,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費150000元；
預售屋,新興區,2025-11-24,高雄市新興區中山一路,住宅大樓(11層含以上有電梯),十九層,36,3房1廳2衛,45.95,2326.0,210.0,46.05,是,坡道平面,中山鉑悅,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費150000元；
預售屋,新興區,2025-11-26,高雄市新興區中山一路,住宅大樓(11層含以上有電梯),十二層,36,3房1廳2衛,46.32,2307.0,220.0,45.06,是,坡道平面,中山鉑悅,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費150000元；
預售屋,新興區,2025-11-27,高雄市新興區中山一路,住宅大樓(11層含以上有電梯),三層,36,2房1廳1衛,22.43,1133.0,0.0,50.51,否,,中山鉑悅,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；
預售屋,新興區,2025-11-28,高雄市新興區中山一路,住宅大樓(11層含以上有電梯),二十五層,36,2房1廳1衛,22.8,1295.0,0.0,56.8,否,,中山鉑悅,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；
